NBR,millis,system:index,Timestamp,Year,Month,Day,DOY
0.7360230684280396,1375381797010,1_1_LC08_041035_20130817,2013-08-01 18:29:57.010,2013,8,1,213
0.7104469537734985,1406917680770,1_1_LC08_041035_20140820,2014-08-01 18:28:00.770,2014,8,1,213
0.6348617672920227,1438453662550,1_1_LC08_041035_20150823,2015-08-01 18:27:42.550,2015,8,1,213
0.43984532356262207,1470076084946,1_1_LC08_041035_20160825,2016-08-01 18:28:04.946,2016,8,1,214
0.3653579652309418,1501612078280,1_1_LC08_041035_20170812,2017-08-01 18:27:58.280,2017,8,1,213
0.37783119082450867,1533148042330,1_1_LC08_041035_20180815,2018-08-01 18:27:22.330,2018,8,1,213
0.3966437578201294,1564684085223,1_1_LC08_041035_20190818,2019-08-01 18:28:05.223,2019,8,1,213
0.40518757700920105,1596306479894,1_1_LC08_041035_20200820,2020-08-01 18:27:59.894,2020,8,1,214
0.44773176312446594,1627842487199,1_1_LC08_041035_20210823,2021-08-01 18:28:07.199,2021,8,1,213
0.755639910697937,933531646815,1_2_LE07_041035_19990819,1999-08-01 18:20:46.815,1999,8,1,213
0.7506657242774963,965153937069,1_2_LE07_041035_20000821,2000-08-01 18:18:57.069,2000,8,1,214
0.7436542510986328,996689802906,1_2_LE07_041035_20010824,2001-08-01 18:16:42.906,2001,8,1,213
0.7536056637763977,1028225754280,1_2_LE07_041035_20020827,2002-08-01 18:15:54.280,2002,8,1,213
0.7571605443954468,1059761780640,1_2_LE07_041035_20030814,2003-08-01 18:16:20.640,2003,8,1,213
0.7353615164756775,1091384204150,1_2_LE07_041035_20040816,2004-08-01 18:16:44.150,2004,8,1,214
0.7501891255378723,1122920234120,1_2_LE07_041035_20050819,2005-08-01 18:17:14.120,2005,8,1,213
0.7453802824020386,1154456255160,1_2_LE07_041035_20060822,2006-08-01 18:17:35.160,2006,8,1,213
0.7420423030853271,1185992273940,1_2_LE07_041035_20070825,2007-08-01 18:17:53.940,2007,8,1,213
0.7443673014640808,1217614627080,1_2_LE07_041035_20080811,2008-08-01 18:17:07.080,2008,8,1,214
0.7324833273887634,1249150686200,1_2_LE07_041035_20090814,2009-08-01 18:18:06.200,2009,8,1,213
0.742935061454773,1280686809960,1_2_LE07_041035_20100817,2010-08-01 18:20:09.960,2010,8,1,213
0.7404753565788269,1312222879940,1_2_LE07_041035_20110820,2011-08-01 18:21:19.940,2011,8,1,213
0.7399351596832275,1343845388500,1_2_LE07_041035_20120822,2012-08-01 18:23:08.500,2012,8,1,214
0.6165585517883301,491767040424,2_LT05_041035_19850905,1985-08-01 17:57:20.424,1985,8,1,213
0.6074462532997131,523302555894,2_LT05_041035_19860823,1986-08-01 17:49:15.894,1986,8,1,213
0.5984958410263062,554838882148,2_LT05_041035_19870911,1987-08-01 17:54:42.148,1987,8,1,213
0.6127855777740479,586461518729,2_LT05_041035_19880812,1988-08-01 17:58:38.729,1988,8,1,214
0.650138795375824,617997276951,2_LT05_041035_19890815,1989-08-01 17:54:36.951,1989,8,1,213
0.6635383367538452,649532873321,2_LT05_041035_19900818,1990-08-01 17:47:53.321,1990,8,1,213
0.701214075088501,681069091240,2_LT05_041035_19910821,1991-08-01 17:51:31.240,1991,8,1,213
0.6689117550849915,712691421831,2_LT05_041035_19920823,1992-08-01 17:50:21.831,1992,8,1,214
0.722103476524353,744227418391,2_LT05_041035_19930826,1993-08-01 17:50:18.391,1993,8,1,213
0.7189942598342896,775763117643,2_LT05_041035_19940813,1994-08-01 17:45:17.643,1994,8,1,213
0.7858820557594299,807298277364,2_LT05_041035_19950816,1995-08-01 17:31:17.364,1995,8,1,213
0.750437319278717,838921448223,2_LT05_041035_19960818,1996-08-01 17:44:08.223,1996,8,1,214
0.7169381380081177,870458377378,2_LT05_041035_19970821,1997-08-01 17:59:37.378,1997,8,1,213
0.7534329295158386,901994790848,2_LT05_041035_19980824,1998-08-01 18:06:30.848,1998,8,1,213
